,rh,Tair,Tw
0,0.5,56.400000000000446,19.18
1,1.0,56.300000000000445,19.74
2,1.5,56.20000000000044,20.27
3,2.0,56.10000000000044,20.76
4,2.5,56.10000000000044,21.28
5,3.0,56.00000000000044,21.73
6,3.5,55.90000000000044,22.17
7,4.0,55.80000000000044,22.59
8,4.5,55.700000000000436,22.99
9,5.0,55.700000000000436,23.43
10,5.5,55.600000000000435,23.81
11,6.0,55.50000000000043,24.18
12,6.5,55.40000000000043,24.53
13,7.0,55.30000000000043,24.87
14,7.5,55.20000000000043,25.21
15,8.0,55.10000000000043,25.53
16,8.5,55.000000000000426,25.84
17,9.0,54.900000000000425,26.15
18,9.5,54.80000000000042,26.44
19,10.0,54.70000000000042,26.73
20,10.5,54.60000000000042,27.01
21,11.0,54.50000000000042,27.28
22,11.5,54.40000000000042,27.54
23,12.0,54.300000000000416,27.8
24,12.5,54.10000000000041,27.98
25,13.0,54.00000000000041,28.23
26,13.5,53.90000000000041,28.46
27,14.0,53.80000000000041,28.69
28,14.5,53.70000000000041,28.92
29,15.0,53.500000000000405,29.07
30,15.5,53.400000000000404,29.28
31,16.0,53.3000000000004,29.49
32,16.5,53.1000000000004,29.62
33,17.0,53.0000000000004,29.82
34,17.5,52.9000000000004,30.01
35,18.0,52.700000000000394,30.13
36,18.5,52.60000000000039,30.31
37,19.0,52.50000000000039,30.49
38,19.5,52.30000000000039,30.59
39,20.0,52.20000000000039,30.76
40,20.5,52.000000000000384,30.85
41,21.0,51.90000000000038,31.01
42,21.5,51.80000000000038,31.17
43,22.0,51.60000000000038,31.25
44,22.5,51.50000000000038,31.4
45,23.0,51.300000000000374,31.47
46,23.5,51.20000000000037,31.61
47,24.0,51.00000000000037,31.68
48,24.5,50.90000000000037,31.81
49,25.0,50.700000000000365,31.87
50,25.5,50.600000000000364,32.0
51,26.0,50.40000000000036,32.05
52,26.5,50.30000000000036,32.17
53,27.0,50.10000000000036,32.22
54,27.5,50.000000000000355,32.33
55,28.0,49.80000000000035,32.37
56,28.5,49.70000000000035,32.48
57,29.0,49.50000000000035,32.51
